Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,965369,-,-,-,45.85,-84.62,-5,200,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,Cloud Type,Fill Flag,Precipitable Water,Global Horizontal UV Irradiance (295-385nm),Wind Direction,Global Horizontal UV Irradiance (280-400nm),Solar Zenith Angle,Clearsky GHI,GHI,Clearsky DNI,Clearsky DHI
2019,1,1,0,30,0,0,-5.9,0.45,6.6000000000000005,92.71000000000001,-4.9,990,8,0,1,0.0000,4,0.0000,157.06,0,0,0,0
2019,1,1,1,30,0,0,-7.9,0.45,6.6000000000000005,89.65,-6.5,992,8,0,0.9,0.0000,2,0.0000,155.18,0,0,0,0
2019,1,1,2,30,0,0,-9.4,0.45,6.4,88.19,-7.800000000000001,994,4,0,0.8,0.0000,1,0.0000,148.39000000000001,0,0,0,0
2019,1,1,3,30,0,0,-10.5,0.45,5.800000000000001,87.44,-8.8,996,7,0,0.6000000000000001,0.0000,176,0.0000,139.18,0,0,0,0
2019,1,1,4,30,0,0,-11.4,0.45,5.4,86.89,-9.600000000000001,998,7,0,0.4,0.0000,350,0.0000,129.01,0,0,0,0
2019,1,1,5,30,0,0,-12.200000000000001,0.45,5.2,86.26,-10.3,1000,7,0,0.30000000000000004,0.0000,348,0.0000,118.58,0,0,0,0
2019,1,1,6,30,0,0,-12.8,0.45,4.9,85.57000000000001,-10.9,1001,6,0,0.2,0.0000,349,0.0000,108.29,0,0,0,0
2019,1,1,7,30,0,0,-13.3,0.45,4.6000000000000005,87.19,-11.600000000000001,1002,8,0,0.2,0.0000,353,0.0000,98.45,0,0,0,0
2019,1,1,8,30,8,88,-13.8,0.45,4.1000000000000005,86.79,-12,1003,4,57,0.2,0.0000,356,0.0000,88.94,16,10,208,12
2019,1,1,9,30,45,375,-14,0.45,3.7,82.99,-11.700000000000001,1004,4,100,0.2,0.0000,357,0.0000,81.33,139,102,686,36
2019,1,1,10,30,47,835,-13.9,0.45,3.4000000000000004,80.2,-11.200000000000001,1005,0,0,0.2,9.8835,354,12.8607,75,263,263,835,47
2019,1,1,11,30,66,732,-14,0.45,3.1,76.18,-10.600000000000001,1005,4,0,0.2,12.1237,349,15.6697,70.69,351,308,900,53
2019,1,1,12,30,97,557,-13.9,0.45,3,73.15,-10,1005,4,0,0.2,11.9529,345,15.4136,68.83,389,298,921,56
2019,1,1,13,30,72,673,-13.600000000000001,0.45,2.9000000000000004,72.01,-9.5,1005,7,0,0.2,12.1767,342,15.7170,69.63,373,306,907,57
2019,1,1,14,30,58,684,-13.200000000000001,0.45,2.8000000000000003,72.66,-9.200000000000001,1006,7,0,0.2,9.9083,343,12.8492,72.99,304,258,854,54
2019,1,1,15,30,54,464,-12.9,0.45,2.6,77.21000000000001,-9.700000000000001,1006,7,93,0.2,5.3228,348,6.9710,78.56,191,146,734,45
2019,1,1,16,30,27,182,-13.5,0.45,2.3000000000000003,77.49,-10.3,1006,4,75,0.2,0.0000,352,0.0000,85.8,59,40,448,26
2019,1,1,17,30,0,0,-13.600000000000001,0.45,2,77.23,-10.4,1006,8,0,0.30000000000000004,0.0000,351,0.0000,94.66,0,0,0,0
2019,1,1,18,30,0,0,-13.600000000000001,0.45,1.7000000000000002,76.3,-10.200000000000001,1006,4,0,0.30000000000000004,0.0000,350,0.0000,104.23,0,0,0,0
2019,1,1,19,30,0,0,-13.700000000000001,0.45,1,74.52,-10,1006,7,0,0.30000000000000004,0.0000,313,0.0000,114.37,0,0,0,0
2019,1,1,20,30,0,0,-13.5,0.45,1,74.66,-9.8,1005,8,0,0.30000000000000004,0.0000,284,0.0000,124.78,0,0,0,0
2019,1,1,21,30,0,0,-12.9,0.45,1.3,76.03,-9.5,1005,8,0,0.30000000000000004,0.0000,270,0.0000,135.11,0,0,0,0
