Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,997291,-,-,-,45.01,-83.1,-5,176,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,GHI,Clearsky GHI,Solar Zenith Angle,Clearsky DNI,Clearsky DHI,Cloud Type,Fill Flag,Precipitable Water,Wind Direction,Global Horizontal UV Irradiance (295-385nm),Global Horizontal UV Irradiance (280-400nm)
2017,1,1,0,30,0,0,-2,0.015,6.9,82.76,0,980,0,0,157.93,0,0,4,0,0.552,278.1,0.0000,0.0000
2017,1,1,1,30,0,0,-2,0.015,6.7,82.45,0,980,0,0,155.36,0,0,8,0,0.555,271.40000000000003,0.0000,0.0000
2017,1,1,2,30,0,0,-2,0.015,6.6000000000000005,81.23,0,980,0,0,148,0,0,8,0,0.546,264,0.0000,0.0000
2017,1,1,3,30,0,0,-3,0.015,6.6000000000000005,79.06,0,990,0,0,138.43,0,0,8,0,0.527,256,0.0000,0.0000
2017,1,1,4,30,0,0,-3,0.015,6.7,76.49,0,990,0,0,128.03,0,0,1,0,0.511,251.4,0.0000,0.0000
2017,1,1,5,30,0,0,-4,0.015,6.6000000000000005,79.07000000000001,-1,990,0,0,117.44,0,0,1,0,0.52,248.60000000000002,0.0000,0.0000
2017,1,1,6,30,0,0,-4,0.015,6.5,82.19,-2,990,0,0,107.04,0,0,4,0,0.55,243,0.0000,0.0000
2017,1,1,7,30,0,0,-4,0.015,6.800000000000001,80.98,-2,990,0,0,97.13,0,0,8,0,0.5690000000000001,235.10000000000002,0.0000,0.0000
2017,1,1,8,30,23,0,-4,0.015,7.2,75.82000000000001,-1,990,23,23,88.01,203,16,4,4,0.5680000000000001,229.20000000000002,0.0000,0.0000
2017,1,1,9,30,44,593,-4,0.015,7.5,78.32000000000001,-1,990,146,146,80.08,593,44,8,4,0.5750000000000001,224.70000000000002,0.0000,0.0000
2017,1,1,10,30,57,746,-3,0.015,7.7,76.10000000000001,0,990,265,265,73.78,746,57,8,4,0.597,223.20000000000002,10.0899,13.1016
2017,1,1,11,30,63,814,-3,0.015,7.7,80.15,0,990,346,346,69.60000000000001,814,63,0,0,0.612,223.5,13.7726,17.7762
2017,1,1,12,30,64,838,-2,0.015,7.5,84.23,0,990,378,378,67.96000000000001,838,64,0,0,0.623,225.9,15.2889,19.6967
2017,1,1,13,30,62,824,-1,0.015,7.2,81.52,1,990,357,357,69.04,824,62,0,0,0.644,230.10000000000002,14.2899,18.4317
2017,1,1,14,30,57,764,-1,0.015,6.5,78.17,2,990,284,284,72.72,764,57,0,0,0.665,235.70000000000002,10.9389,14.1798
2017,1,1,15,30,46,635,-1,0.015,5.6000000000000005,80.32000000000001,2,990,171,171,78.62,635,46,0,0,0.677,240.10000000000002,6.2324,8.1631
2017,1,1,16,30,22,324,-1,0.015,4.7,86.31,1,990,44,44,86.24,324,22,0,0,0.684,242.20000000000002,0.0000,0.0000
2017,1,1,17,30,0,0,-1,0.015,4.1000000000000005,85.59,1,990,0,0,95.14,0,0,8,0,0.6930000000000001,246.3,0.0000,0.0000
2017,1,1,18,30,0,0,-1,0.015,3.6,91.45,0,990,0,0,104.92,0,0,8,0,0.714,252.20000000000002,0.0000,0.0000
2017,1,1,19,30,0,0,-1,0.015,3.2,90.76,0,1000,0,0,115.24000000000001,0,0,8,0,0.749,256.1,0.0000,0.0000
2017,1,1,20,30,0,0,-1,0.015,2.8000000000000003,90.06,0,1000,0,0,125.81,0,0,8,0,0.792,260.6,0.0000,0.0000
2017,1,1,21,30,0,0,-1,0.015,2.3000000000000003,88.95,0,1000,0,0,136.28,0,0,8,0,0.842,273.3,0.0000,0.0000
2017,1,1,22,30,0,0,-1,0.015,1.9000000000000001,87.81,0,1000,0,0,146.09,0,0,4,0,0.915,290.8,0.0000,0.0000
2017,1,1,23,30,0,0,-2,0.015,1.7000000000000002,85.93,0,1000,0,0,154.06,0,0,8,0,0.998,317.90000000000003,0.0000,0.0000
2017,1,2,0,30,0,0,-2,0.015,1.9000000000000001,85.05,0,1000,0,0,157.84,0,0,8,0,1.038,8.3,0.0000,0.0000
