Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,997291,-,-,-,45.01,-83.1,-5,176,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.0
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,GHI,Clearsky GHI,Solar Zenith Angle,Clearsky DNI,Clearsky DHI,Cloud Type,Fill Flag,Precipitable Water,Wind Direction,Global Horizontal UV Irradiance (295-385nm),Global Horizontal UV Irradiance (280-400nm)
2018,1,1,0,30,0,0,-10.3,0.02,6.9,89,-8.8,1006,0,0,157.97,0,0,4,0,0.2,279,0.0000,0.0000
2018,1,1,1,30,0,0,-10.4,0.02,7.300000000000001,87.67,-8.700000000000001,1006,0,0,155.38,0,0,4,0,0.2,280,0.0000,0.0000
2018,1,1,2,30,0,0,-10.4,0.02,7.6000000000000005,88.42,-8.8,1006,0,0,148,0,0,4,0,0.2,280,0.0000,0.0000
2018,1,1,3,30,0,0,-10.3,0.02,7.7,88.62,-8.8,1006,0,0,138.43,0,0,4,0,0.2,281,0.0000,0.0000
2018,1,1,4,30,0,0,-10.3,0.02,7.800000000000001,88.46000000000001,-8.700000000000001,1005,0,0,128.02,0,0,4,0,0.2,281,0.0000,0.0000
2018,1,1,5,30,0,0,-10.100000000000001,0.02,7.9,88.79,-8.6,1005,0,0,117.43,0,0,7,0,0.2,284,0.0000,0.0000
2018,1,1,6,30,0,0,-10,0.02,8.200000000000001,88.47,-8.4,1005,0,0,107.03,0,0,4,0,0.2,288,0.0000,0.0000
2018,1,1,7,30,0,0,-9.9,0.02,8.6,88.29,-8.3,1005,0,0,97.12,0,0,4,0,0.2,297,0.0000,0.0000
2018,1,1,8,30,5,0,-9.8,0.02,8.9,89.46000000000001,-8.4,1006,5,26,87.71000000000001,175,19,4,71,0.2,307,0.0000,0.0000
2018,1,1,9,30,32,0,-9.9,0.02,9.200000000000001,89.57000000000001,-8.5,1006,32,153,79.99,592,50,4,100,0.2,316,1.1628,1.5258
2018,1,1,10,30,72,0,-10.100000000000001,0.02,9.4,90.09,-8.8,1007,72,274,73.73,750,64,4,0,0.2,321,2.7429,3.5613
2018,1,1,11,30,82,2,-10.4,0.02,9.3,90.95,-9.200000000000001,1007,83,358,69.57000000000001,824,70,4,0,0.2,323,3.3048,4.2654
2018,1,1,12,30,110,22,-10.600000000000001,0.02,8.9,91.06,-9.4,1007,118,387,67.93,843,70,4,0,0.30000000000000004,322,4.7741,6.1502
2018,1,1,13,30,116,7,-10.5,0.02,8.4,89.25,-9.1,1007,119,367,69.02,839,67,4,0,0.30000000000000004,318,4.7642,6.1450
2018,1,1,14,30,76,3,-10.200000000000001,0.02,8,87.19,-8.5,1008,77,294,72.69,782,61,4,0,0.30000000000000004,311,2.9668,3.8456
2018,1,1,15,30,50,10,-9.8,0.02,7.9,86.23,-7.9,1008,52,179,78.57000000000001,651,50,4,100,0.30000000000000004,304,1.8957,2.4828
2018,1,1,16,30,13,0,-9.3,0.02,8.1,86.05,-7.4,1008,13,50,86.07000000000001,333,27,4,100,0.30000000000000004,297,0.0000,0.0000
2018,1,1,17,30,0,0,-9,0.02,8.5,85.72,-7,1008,0,0,95.18,0,0,4,0,0.30000000000000004,293,0.0000,0.0000
2018,1,1,18,30,0,0,-8.700000000000001,0.02,8.700000000000001,86.23,-6.800000000000001,1008,0,0,104.96000000000001,0,0,4,0,0.30000000000000004,292,0.0000,0.0000
2018,1,1,19,30,0,0,-8.5,0.02,8.9,85.43,-6.5,1007,0,0,115.29,0,0,4,0,0.4,288,0.0000,0.0000
2018,1,1,20,30,0,0,-8.4,0.02,8.8,85.18,-6.300000000000001,1007,0,0,125.86,0,0,7,0,0.4,285,0.0000,0.0000
2018,1,1,21,30,0,0,-8.200000000000001,0.02,8.700000000000001,85.66,-6.2,1006,0,0,136.33,0,0,8,0,0.4,282,0.0000,0.0000
2018,1,1,22,30,0,0,-8,0.02,8.5,85.82000000000001,-6,1006,0,0,146.14000000000001,0,0,8,0,0.4,278,0.0000,0.0000
